ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,resultado_ajustado,ano,mes
2013,2013-10-10,27,Arena do Grêmio,Elmo Alves Resende Cunha,16423.0,60540.0,Grêmio,Criciúma EC,Renato Gaúcho,Argel Fucks,2.0,18.0,19050000.0,5050000.0,28.7,28.2,1,2,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,10
2013,2013-03-11,32,Arena do Grêmio,Alício Pena Junior,16227.0,,Grêmio,EC Bahia,Renato Gaúcho,Cristóvão Borges,3.0,14.0,25050000.0,4900000.0,26.6,26.1,0,0,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,3
2013,2013-09-08,12,Estádio São Januário,Emerson de Almeida Ferreira,9347.0,,Vasco da Gama,Ponte Preta,Dorival Júnior,Paulo César Carpegiani,11.0,16.0,7600000.0,3400000.0,26.1,26.8,1,1,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,9
2013,2013-08-09,19,Estádio São Januário,Leandro Pedro Vuaden,11832.0,,Vasco da Gama,Atlético-PR,Dorival Júnior,Vágner Mancini,11.0,2.0,7400000.0,4600000.0,25.4,26.6,0,0,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,8
2013,2013-08-08,12,Estádio Durival Britto e Silva,Celio Amorim,8656.0,,Atlético-PR,EC Bahia,Vágner Mancini,Cristóvão Borges,8.0,4.0,5800000.0,7400000.0,25.8,26.9,1,0,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,8
2013,2013-01-06,3,Estádio do Governo do Estado de Goiás,Nielson Nogueira Dias,5817.0,,Goiás EC,Coritiba FC,Enderson Moreira,Marquinhos Santos,17.0,6.0,5200000.0,6750000.0,27.9,27.0,1,1,0.0,1.0,,,,,,,,,,,,,,,Empate,Casa,2013,1
2013,2013-07-07,6,Estádio do Governo do Estado de Goiás,Leandro Pedro Vuaden,4420.0,,Goiás EC,EC Vitória,Enderson Moreira,Caio Júnior,15.0,2.0,4800000.0,4900000.0,25.2,27.6,1,0,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,7
2013,2013-02-08,10,Estádio do Governo do Estado de Goiás,Marcos André Gomes da Penha,18136.0,,Goiás EC,Vasco da Gama,Enderson Moreira,Dorival Júnior,11.0,9.0,5750000.0,10100000.0,26.7,26.7,1,1,0.0,1.0,,,,,,,,,,,,,,,Empate,Casa,2013,2
2013,2013-03-11,32,Estádio do Governo do Estado de Goiás,Sandro Ricci,9295.0,,Goiás EC,Botafogo,Enderson Moreira,Oswaldo de Oliveira,5.0,2.0,3900000.0,10150000.0,27.5,28.9,1,0,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,3
2013,2013-08-12,38,Estádio do Governo do Estado de Goiás,Jean Pierre Goncalves Lima,25238.0,50049.0,Goiás EC,Santos FC,Enderson Moreira,Claudinei Oliveira,4.0,8.0,5250000.0,23250000.0,27.6,26.7,0,3,0.0,2.0,,,,,,,,,,,,,,,Fora,Fora,2013,8
